PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;858573892697;ap-northeast-1;2026-09-19 09:30:34.148196;AISF-DATA-02;Ensure IAM Access Analyzer is enabled to validate access policies and identify unintended access to resources used by AI workloads.;Identity and Data Security;Access Analysis;;accessanalyzer;Automated;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-northeast-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;858573892697;ap-northeast-2;2026-09-19 09:30:34.148196;AISF-DATA-02;Ensure IAM Access Analyzer is enabled to validate access policies and identify unintended access to resources used by AI workloads.;Identity and Data Security;Access Analysis;;accessanalyzer;Automated;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-northeast-2:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;858573892697;ap-northeast-3;2026-09-19 09:30:34.148196;AISF-DATA-02;Ensure IAM Access Analyzer is enabled to validate access policies and identify unintended access to resources used by AI workloads.;Identity and Data Security;Access Analysis;;accessanalyzer;Automated;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-northeast-3:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;858573892697;ap-south-1;2026-09-19 09:30:34.148196;AISF-DATA-02;Ensure IAM Access Analyzer is enabled to validate access policies and identify unintended access to resources used by AI workloads.;Identity and Data Security;Access Analysis;;accessanalyzer;Automated;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-south-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;858573892697;ap-southeast-1;2026-09-19 09:30:34.148196;AISF-DATA-02;Ensure IAM Access Analyzer is enabled to validate access policies and identify unintended access to resources used by AI workloads.;Identity and Data Security;Access Analysis;;accessanalyzer;Automated;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-southeast-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;858573892697;ap-southeast-2;2026-09-19 09:30:34.148196;AISF-DATA-02;Ensure IAM Access Analyzer is enabled to validate access policies and identify unintended access to resources used by AI workloads.;Identity and Data Security;Access Analysis;;accessanalyzer;Automated;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-southeast-2:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;858573892697;ca-central-1;2026-09-19 09:30:34.148196;AISF-DATA-02;Ensure IAM Access Analyzer is enabled to validate access policies and identify unintended access to resources used by AI workloads.;Identity and Data Security;Access Analysis;;accessanalyzer;Automated;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ca-central-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;858573892697;eu-central-1;2026-09-19 09:30:34.148196;AISF-DATA-02;Ensure IAM Access Analyzer is enabled to validate access policies and identify unintended access to resources used by AI workloads.;Identity and Data Security;Access Analysis;;accessanalyzer;Automated;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:eu-central-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;858573892697;eu-north-1;2026-09-19 09:30:34.148196;AISF-DATA-02;Ensure IAM Access Analyzer is enabled to validate access policies and identify unintended access to resources used by AI workloads.;Identity and Data Security;Access Analysis;;accessanalyzer;Automated;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:eu-north-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;858573892697;eu-west-1;2026-09-19 09:30:34.148196;AISF-DATA-02;Ensure IAM Access Analyzer is enabled to validate access policies and identify unintended access to resources used by AI workloads.;Identity and Data Security;Access Analysis;;accessanalyzer;Automated;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:eu-west-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
