PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;987292390922;eu-west-2;2026-09-13 17:05:55.304157;AISF-DATA-02;Ensure IAM Access Analyzer is enabled to validate access policies and identify unintended access to resources used by AI workloads.;Identity and Data Security;Access Analysis;;accessanalyzer;Automated;FAIL;IAM Access Analyzer in account 987292390922 is not enabled.;arn:aws:accessanalyzer:eu-west-2:987292390922:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;987292390922;us-east-1;2026-09-13 17:05:55.304157;AISF-DATA-02;Ensure IAM Access Analyzer is enabled to validate access policies and identify unintended access to resources used by AI workloads.;Identity and Data Security;Access Analysis;;accessanalyzer;Automated;FAIL;IAM Access Analyzer in account 987292390922 is not enabled.;arn:aws:accessanalyzer:us-east-1:987292390922:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;987292390922;us-east-1;2026-09-13 17:05:55.304157;AISF-GOV-03;Ensure security contact information is registered and current for AI workload incident response communication.;Governance and Compliance;Incident Response;;account;Automated;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::987292390922:root;account_maintain_current_contact_details;False;987292390922;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;987292390922;us-east-1;2026-09-13 17:05:55.304157;AISF-GOV-03;Ensure security contact information is registered and current for AI workload incident response communication.;Governance and Compliance;Incident Response;;account;Automated;FAIL;SECURITY, BILLING and OPERATIONS contacts not found or they are not different between each other and between ROOT contact.;arn:aws:iam::987292390922:root;account_maintain_different_contact_details_to_security_billing_and_operations;False;987292390922;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;987292390922;us-east-1;2026-09-13 17:05:55.304157;AISF-GOV-03;Ensure security contact information is registered and current for AI workload incident response communication.;Governance and Compliance;Incident Response;;account;Automated;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::987292390922:root;account_security_contact_information_is_registered;False;987292390922;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;987292390922;ap-northeast-2;2026-09-13 17:05:55.304157;AISF-INFRA-05;Ensure all data at rest is encrypted with AES-256 across AI workload storage including S3 buckets, EBS volumes, RDS instances, SageMaker notebooks, and Bedrock prompts using customer-managed KMS keys where possible.;Infrastructure Security;Encryption at Rest;;kms;Automated;MANUAL;"Bedrock custom models could not be listed in region ap-northeast-2 (UnknownOperationException); verify manually that every custom model uses a customer-managed KMS key.";arn:aws:bedrock:ap-northeast-2:987292390922:custom-model/unknown;bedrock_custom_model_encrypted_with_cmk;False;custom-model/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;987292390922;ap-southeast-1;2026-09-13 17:05:55.304157;AISF-INFRA-05;Ensure all data at rest is encrypted with AES-256 across AI workload storage including S3 buckets, EBS volumes, RDS instances, SageMaker notebooks, and Bedrock prompts using customer-managed KMS keys where possible.;Infrastructure Security;Encryption at Rest;;kms;Automated;MANUAL;"Bedrock custom models could not be listed in region ap-southeast-1 (UnknownOperationException); verify manually that every custom model uses a customer-managed KMS key.";arn:aws:bedrock:ap-southeast-1:987292390922:custom-model/unknown;bedrock_custom_model_encrypted_with_cmk;False;custom-model/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;987292390922;us-east-2;2026-09-13 17:05:55.304157;AISF-INFRA-05;Ensure all data at rest is encrypted with AES-256 across AI workload storage including S3 buckets, EBS volumes, RDS instances, SageMaker notebooks, and Bedrock prompts using customer-managed KMS keys where possible.;Infrastructure Security;Encryption at Rest;;kms;Automated;MANUAL;"Bedrock custom models could not be listed in region us-east-2 (UnknownOperationException); verify manually that every custom model uses a customer-managed KMS key.";arn:aws:bedrock:us-east-2:987292390922:custom-model/unknown;bedrock_custom_model_encrypted_with_cmk;False;custom-model/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;987292390922;us-east-1;2026-09-13 17:05:55.304157;AISF-IAM-02;Ensure least-privilege access is enforced for all AI service identities. No administrative privileges should be attached to IAM entities that interact with Bedrock, SageMaker, or other AI services.;Identity and Data Security;Authorization;;iam;Automated;PASS;IAM Role AWSReservedSSO_AdministratorAccess_1e98e747bcb61dc5 does not have AmazonBedrockFullAccess policy attached.;arn:aws:iam::987292390922:role/aws-reserved/sso.amazonaws.com/af-south-1/AWSReservedSSO_AdministratorAccess_1e98e747bcb61dc5;bedrock_full_access_policy_attached;False;AWSReservedSSO_AdministratorAccess_1e98e747bcb61dc5;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;987292390922;us-east-1;2026-09-13 17:05:55.304157;AISF-IAM-02;Ensure least-privilege access is enforced for all AI service identities. No administrative privileges should be attached to IAM entities that interact with Bedrock, SageMaker, or other AI services.;Identity and Data Security;Authorization;;iam;Automated;PASS;IAM Role tradecore-production-github-actions does not have AmazonBedrockFullAccess policy attached.;arn:aws:iam::987292390922:role/tradecore-production-github-actions;bedrock_full_access_policy_attached;False;tradecore-production-github-actions;AWS-AI-Security-Framework;AWS AI Security Framework;
