PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;Account.1;This control checks if an Amazon Web Services (AWS) account has security contact information. The control fails if security contact information is not provided for the account.;Account;;;Account;;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::858573892697:root;account_security_contact_information_is_registered;False;858573892697;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;Lambda.3;This control checks whether a Lambda function is deployed in a virtual private cloud (VPC). The control fails if the Lambda function isn't deployed in a VPC. Security Hub doesn't evaluate the VPC subnet routing configuration to determine public reachability. You might see failed findings for Lambda@Edge resources.;Lambda;;;Lambda;;FAIL;Lambda function security-remediation-s3-public is not inside a VPC;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-public;awslambda_function_inside_vpc;False;security-remediation-s3-public;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;Lambda.3;This control checks whether a Lambda function is deployed in a virtual private cloud (VPC). The control fails if the Lambda function isn't deployed in a VPC. Security Hub doesn't evaluate the VPC subnet routing configuration to determine public reachability. You might see failed findings for Lambda@Edge resources.;Lambda;;;Lambda;;FAIL;Lambda function security-remediation-cloudtrail is not inside a VPC;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-cloudtrail;awslambda_function_inside_vpc;False;security-remediation-cloudtrail;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;Lambda.3;This control checks whether a Lambda function is deployed in a virtual private cloud (VPC). The control fails if the Lambda function isn't deployed in a VPC. Security Hub doesn't evaluate the VPC subnet routing configuration to determine public reachability. You might see failed findings for Lambda@Edge resources.;Lambda;;;Lambda;;FAIL;Lambda function security-remediation-s3-encryption is not inside a VPC;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-encryption;awslambda_function_inside_vpc;False;security-remediation-s3-encryption;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;Lambda.3;This control checks whether a Lambda function is deployed in a virtual private cloud (VPC). The control fails if the Lambda function isn't deployed in a VPC. Security Hub doesn't evaluate the VPC subnet routing configuration to determine public reachability. You might see failed findings for Lambda@Edge resources.;Lambda;;;Lambda;;FAIL;Lambda function security-remediation-rdp is not inside a VPC;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-rdp;awslambda_function_inside_vpc;False;security-remediation-rdp;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;Lambda.3;This control checks whether a Lambda function is deployed in a virtual private cloud (VPC). The control fails if the Lambda function isn't deployed in a VPC. Security Hub doesn't evaluate the VPC subnet routing configuration to determine public reachability. You might see failed findings for Lambda@Edge resources.;Lambda;;;Lambda;;FAIL;Lambda function security-remediation-ssh is not inside a VPC;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-ssh;awslambda_function_inside_vpc;False;security-remediation-ssh;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;Lambda.1;This control checks whether the Lambda function resource-based policy prohibits public access outside of your account. The Lambda function should not be publicly accessible, as this may allow unintended access to your code stored in the function.;Lambda;;;Lambda;;PASS;Lambda function security-remediation-s3-public has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-public;awslambda_function_not_publicly_accessible;False;security-remediation-s3-public;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;Lambda.1;This control checks whether the Lambda function resource-based policy prohibits public access outside of your account. The Lambda function should not be publicly accessible, as this may allow unintended access to your code stored in the function.;Lambda;;;Lambda;;PASS;Lambda function security-remediation-cloudtrail has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-cloudtrail;awslambda_function_not_publicly_accessible;False;security-remediation-cloudtrail;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;Lambda.1;This control checks whether the Lambda function resource-based policy prohibits public access outside of your account. The Lambda function should not be publicly accessible, as this may allow unintended access to your code stored in the function.;Lambda;;;Lambda;;PASS;Lambda function security-remediation-s3-encryption has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-encryption;awslambda_function_not_publicly_accessible;False;security-remediation-s3-encryption;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;Lambda.1;This control checks whether the Lambda function resource-based policy prohibits public access outside of your account. The Lambda function should not be publicly accessible, as this may allow unintended access to your code stored in the function.;Lambda;;;Lambda;;PASS;Lambda function security-remediation-rdp has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-rdp;awslambda_function_not_publicly_accessible;False;security-remediation-rdp;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
