PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;858573892697;ap-northeast-1;2026-09-19 09:30:34.148196;po_3;Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed.;Govern (GV);Policies, Processes, and Procedures (GV.PO);;aws;;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-northeast-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;858573892697;ap-northeast-1;2026-09-19 09:30:34.148196;po_4;Governance and risk management processes address cybersecurity risks.;Govern (GV);Policies, Processes, and Procedures (GV.PO);;aws;;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-northeast-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;858573892697;ap-northeast-1;2026-09-19 09:30:34.148196;ov_2;Cybersecurity risk management performance is measured and reported.;Govern (GV);Oversight (GV.OV);;aws;;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-northeast-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;858573892697;ap-northeast-1;2026-09-19 09:30:34.148196;ov_3;Cybersecurity risk management strategy and practices are reviewed and adjusted to adapt to changes in the threat landscape, technologies, or mission, business, or system environments.;Govern (GV);Oversight (GV.OV);;aws;;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-northeast-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;858573892697;ap-northeast-1;2026-09-19 09:30:34.148196;ac_1;Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes.;Protect (PR);Identity Management and Access Control (PR.AC);;aws;;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-northeast-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;858573892697;ap-northeast-1;2026-09-19 09:30:34.148196;ac_6;Identities are proofed and bound to credentials and asserted in interactions.;Protect (PR);Identity Management and Access Control (PR.AC);;aws;;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-northeast-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;858573892697;ap-northeast-2;2026-09-19 09:30:34.148196;po_3;Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed.;Govern (GV);Policies, Processes, and Procedures (GV.PO);;aws;;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-northeast-2:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;858573892697;ap-northeast-2;2026-09-19 09:30:34.148196;po_4;Governance and risk management processes address cybersecurity risks.;Govern (GV);Policies, Processes, and Procedures (GV.PO);;aws;;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-northeast-2:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;858573892697;ap-northeast-2;2026-09-19 09:30:34.148196;ov_2;Cybersecurity risk management performance is measured and reported.;Govern (GV);Oversight (GV.OV);;aws;;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-northeast-2:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;858573892697;ap-northeast-2;2026-09-19 09:30:34.148196;ov_3;Cybersecurity risk management strategy and practices are reviewed and adjusted to adapt to changes in the threat landscape, technologies, or mission, business, or system environments.;Govern (GV);Oversight (GV.OV);;aws;;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:ap-northeast-2:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
